state,"voter tunout ratio"
Nagaland,87.8220
Lakshadweep,86.6131
Tripura,84.7208
"Dadra & Nagar Haveli",84.0735
Sikkim,83.3312
"West Bengal",82.1730
Puducherry,82.1003
Assam,80.0834
Manipur,79.6134
"Arunachal Pradesh",78.6147
"Daman & Diu",78.0071
"Andhra Pradesh",77.6737
Goa,77.0190
Kerala,73.8938
Chandigarh,73.7069
"Tamil Nadu",73.6773
Haryana,71.4107
"Andaman & Nicobar Islands",70.6593
Punjab,70.6090
Telangana,69.7101
Meghalaya,68.7870
Karnataka,67.1694
"NCT OF Delhi",65.0748
"Himachal Pradesh",64.4169
Jharkhand,63.7989
Gujarat,63.6011
Rajasthan,63.0558
Mizoram,61.6946
Uttarakhand,61.6228
"Madhya Pradesh",61.5939
Maharashtra,60.2947
"Uttar Pradesh",58.4200
Bihar,56.2465
"Jammu & Kashmir",49.6561
