state,"voter turnout ratio"
Nagaland,16.58
"Daman & Diu",14.37
Lakshadweep,12.17
Meghalaya,12.15
"Arunachal Pradesh",11.34
Goa,10.73
Mizoram,9.01
Manipur,7.91
Odisha,7.85
Assam,6.96
"West Bengal",6.80
Sikkim,6.75
"Dadra & Nagar Haveli",6.63
Tripura,6.56
Kerala,6.28
Rajasthan,6.01
"Himachal Pradesh",5.89
"Andhra Pradesh",5.81
Uttarakhand,5.33
"Uttar Pradesh",4.47
"Madhya Pradesh",4.37
Chhattisgarh,4.29
Puducherry,4.28
Gujarat,4.18
"Andaman & Nicobar Islands",4.07
Jharkhand,3.77
Karnataka,3.71
Bihar,3.42
"Tamil Nadu",3.18
Maharashtra,3.15
Haryana,3.02
Punjab,2.94
"Jammu & Kashmir",2.72
"NCT OF Delhi",2.53
Telangana,2.41
Chandigarh,1.91
