month,total_docs_registered,total_estamps_registered
2020-12-01,47019,54241
2021-01-01,118558,122571
2021-02-01,111416,113331
2021-03-01,114212,118857
2021-04-01,107210,111412
2021-05-01,27510,26502
2021-06-01,75258,84981
2021-07-01,98006,106306
2021-08-01,77118,82322
2021-10-01,76205,79690
2021-11-01,75424,79776
2021-12-01,77279,79840
2022-01-01,84095,95200
2022-02-01,81518,81044
2022-03-01,81722,86590
2022-04-01,70818,72441
2022-05-01,70057,73113
2022-06-01,82390,85223
2022-07-01,77052,78965
2022-08-01,74071,77606
2022-09-01,79481,82357
2022-10-01,67094,69337
2022-11-01,80743,84926
2022-12-01,73250,74191
2023-01-01,78585,83767
2023-02-01,82620,84161
2023-03-01,79544,81969
