district,total_stamp_rev,district_group
Medchal_Malkajgiri,26688640600,1
Hyderabad,25267992981,1
Sangareddy,14782041561,1
Hanumakonda,4959670232,1
"Yadadri Bhuvanagiri",3801870232,1
Khammam,3646844602,1
Karimnagar,2633977624,1
Nizamabad,2614662871,1
Nalgonda,2600080824,1
Rangareddy,2491391942,1
Mahabubnagar,1981371785,1
Suryapet,1818082431,2
Siddipet,1762872744,2
Medak,1146081195,2
Peddapalli,1126687326,2
Mancherial,1105983406,2
Jagtial,1079332319,2
Vikarabad,906189501,2
Nagarkurnool,881618696,2
Kamareddy,859661958,2
"Rajanna Sircilla",750209633,2
Jangoan,747428965,2
Wanaparthy,746269937,3
Adilabad,723003081,3
Mahabubabad,666572041,3
Nirmal,639557126,3
"Jogulamba Gadwal",603996030,3
"Bhadradri Kothagudem",540722552,3
Narayanpet,468512790,3
Warangal,424814165,3
Mulugu,369302299,3
"Kumurambheem Asifabad",133420327,3
