month,total_docs_registered,total_stamps_registered
2019-04-01,130223,0
2019-05-01,144201,0
2019-06-01,133916,0
2019-07-01,158479,0
2019-08-01,144914,0
2019-09-01,131759,0
2019-10-01,125855,0
2019-11-01,122205,0
2019-12-01,140440,0
2020-01-01,120851,0
2020-02-01,122852,0
2020-03-01,112423,0
2020-04-01,4492,0
2020-05-01,73005,0
2020-06-01,136196,0
2020-07-01,126672,0
2020-08-01,104469,0
2020-09-01,23255,0
2020-10-01,480,0
2020-11-01,277,0
2020-12-01,47019,54241
2021-01-01,118558,122571
2021-02-01,111416,113331
2021-03-01,114212,118857
2021-04-01,107210,111412
2021-05-01,27510,26502
2021-06-01,75258,84981
2021-07-01,98006,106306
2021-08-01,77118,82322
2021-10-01,76205,79690
2021-11-01,75424,79776
2021-12-01,77279,79840
2022-01-01,84095,95200
2022-02-01,81518,81044
2022-03-01,81722,86590
2022-04-01,70818,72441
2022-05-01,70057,73113
2022-06-01,82390,85223
2022-07-01,77052,78965
2022-08-01,74071,77606
2022-09-01,79481,82357
2022-10-01,67094,69337
2022-11-01,80743,84926
2022-12-01,73250,74191
2023-01-01,78585,83767
2023-02-01,82620,84161
2023-03-01,79544,81969
